id_virtual,lsm_model,grupo,lsm_liwc
00-9285_BREY_vs_HARR,0.81996197742886,SCOTUS,0.8
00-9285_BREY_vs_GORN,0.7712459292858067,SCOTUS,0.79
00-9285_GINS_vs_KENN,0.8402947619765762,SCOTUS,0.86
00-9285_GINS_vs_STEV,0.8746203233177243,SCOTUS,0.92
00-9285_GINS_vs_SCAL,0.8629375023729928,SCOTUS,0.89
00-9285_GINS_vs_SOUT,0.8937401872236945,SCOTUS,0.91
00-9285_GINS_vs_HARR,0.8693561501931575,SCOTUS,0.87
00-9285_GINS_vs_GORN,0.8657667088748071,SCOTUS,0.86
00-9285_KENN_vs_STEV,0.8754938156271832,SCOTUS,0.89
00-9285_KENN_vs_SCAL,0.7848507949695337,SCOTUS,0.76
00-9285_KENN_vs_SOUT,0.8634104838228803,SCOTUS,0.85
00-9285_KENN_vs_HARR,0.9063610325513132,SCOTUS,0.94
00-9285_KENN_vs_GORN,0.8834269371883076,SCOTUS,0.89
00-9285_STEV_vs_SCAL,0.805256884428049,SCOTUS,0.83
00-9285_STEV_vs_SOUT,0.9154121556212578,SCOTUS,0.93
00-9285_STEV_vs_HARR,0.9412348256520874,SCOTUS,0.9
00-9285_STEV_vs_GORN,0.8544373698120524,SCOTUS,0.89
00-9285_SCAL_vs_SOUT,0.8663755561982834,SCOTUS,0.85
00-9285_SCAL_vs_HARR,0.7900728313464322,SCOTUS,0.78
00-9285_SCAL_vs_GORN,0.7739648010669546,SCOTUS,0.77
00-9285_SOUT_vs_HARR,0.9093655917707235,SCOTUS,0.89
00-9285_SOUT_vs_GORN,0.8482544494289516,SCOTUS,0.87
00-9285_HARR_vs_GORN,0.8808294864717962,SCOTUS,0.91
01-518_REHN_vs_BASK,0.8592395754485002,SCOTUS,0.82
01-518_REHN_vs_CONN,0.8327614399304946,SCOTUS,0.83
01-518_REHN_vs_BREY,0.797900045551439,SCOTUS,0.84
01-518_REHN_vs_GINS,0.8294084199388679,SCOTUS,0.8
01-518_REHN_vs_SOUT,0.870771405902854,SCOTUS,0.84
01-518_REHN_vs_STEV,0.8136839596922467,SCOTUS,0.83
01-518_REHN_vs_SCAL,0.8753956945689181,SCOTUS,0.82
01-518_REHN_vs_KENN,0.8223286835827261,SCOTUS,0.85
01-518_REHN_vs_WALL,0.8310689501862232,SCOTUS,0.81
01-518_BASK_vs_CONN,0.8870478421063086,SCOTUS,0.83
01-518_BASK_vs_BREY,0.8683422566495071,SCOTUS,0.89
01-518_BASK_vs_GINS,0.9268402270288096,SCOTUS,0.88
01-518_BASK_vs_SOUT,0.8869882048857327,SCOTUS,0.92
01-518_BASK_vs_STEV,0.8443105270265174,SCOTUS,0.88
01-518_BASK_vs_SCAL,0.9396601980774346,SCOTUS,0.96
01-518_BASK_vs_KENN,0.8803707374439985,SCOTUS,0.87
01-518_BASK_vs_WALL,0.8848550855510187,SCOTUS,0.86
01-518_CONN_vs_BREY,0.8961139538387366,SCOTUS,0.88
01-518_CONN_vs_GINS,0.9083541667411296,SCOTUS,0.9
01-518_CONN_vs_SOUT,0.8466138578280281,SCOTUS,0.84
01-518_CONN_vs_STEV,0.8951630934916803,SCOTUS,0.86
01-518_CONN_vs_SCAL,0.8899488635875821,SCOTUS,0.85
01-518_CONN_vs_KENN,0.9350854014031805,SCOTUS,0.88
01-518_CONN_vs_WALL,0.8765319267217154,SCOTUS,0.83
01-518_BREY_vs_GINS,0.8915480353673132,SCOTUS,0.91
01-518_BREY_vs_SOUT,0.8575015091971686,SCOTUS,0.93
01-518_BREY_vs_STEV,0.7995464131978423,SCOTUS,0.86
01-518_BREY_vs_SCAL,0.8662443598562654,SCOTUS,0.89
01-518_BREY_vs_KENN,0.9165387670712376,SCOTUS,0.94
01-518_BREY_vs_WALL,0.7765793340946185,SCOTUS,0.81
01-518_GINS_vs_SOUT,0.8726160875223565,SCOTUS,0.85
01-518_GINS_vs_STEV,0.8490494302611319,SCOTUS,0.83
01-518_GINS_vs_SCAL,0.9197724319255639,SCOTUS,0.91
01-518_GINS_vs_KENN,0.8999824123984821,SCOTUS,0.88
01-518_GINS_vs_WALL,0.8393468504621362,SCOTUS,0.81
01-518_SOUT_vs_STEV,0.8200862912520428,SCOTUS,0.9
01-518_SOUT_vs_SCAL,0.9184248947007531,SCOTUS,0.92
01-518_SOUT_vs_KENN,0.878918659411646,SCOTUS,0.93
01-518_SOUT_vs_WALL,0.8026744328044564,SCOTUS,0.82
01-518_STEV_vs_SCAL,0.854139734524278,SCOTUS,0.89
01-518_STEV_vs_KENN,0.8501338931577296,SCOTUS,0.89
01-518_STEV_vs_WALL,0.8658702272036299,SCOTUS,0.88
01-518_SCAL_vs_KENN,0.8747889841472429,SCOTUS,0.88
01-518_SCAL_vs_WALL,0.8447468408803114,SCOTUS,0.84
01-518_KENN_vs_WALL,0.8360827465648466,SCOTUS,0.84
01-682_ROBB_vs_CONN,0.8696617286812502,SCOTUS,0.89
01-682_ROBB_vs_REHN,0.8396025991575357,SCOTUS,0.84
01-682_ROBB_vs_KENN,0.7871126895054066,SCOTUS,0.88
01-682_ROBB_vs_SCAL,0.7921210422164792,SCOTUS,0.81
01-682_ROBB_vs_BREY,0.890369327038941,SCOTUS,0.84
01-682_ROBB_vs_GINS,0.8274262072370715,SCOTUS,0.85
01-682_ROBB_vs_GARR,0.8720876188944163,SCOTUS,0.89
01-682_ROBB_vs_NELS,0.9273165199495812,SCOTUS,0.93
01-682_CONN_vs_REHN,0.7838323354840869,SCOTUS,0.87
01-682_CONN_vs_KENN,0.7923835274835824,SCOTUS,0.83
01-682_CONN_vs_SCAL,0.8240925215395198,SCOTUS,0.78
01-682_CONN_vs_BREY,0.8044284227816001,SCOTUS,0.82
01-682_CONN_vs_GINS,0.7782348258269456,SCOTUS,0.87
01-682_CONN_vs_GARR,0.841732844015884,SCOTUS,0.8
01-682_CONN_vs_NELS,0.8545416633498544,SCOTUS,0.85
01-682_REHN_vs_KENN,0.8089944905839899,SCOTUS,0.82
01-682_REHN_vs_SCAL,0.8229099861513454,SCOTUS,0.81
01-682_REHN_vs_BREY,0.8518737210989763,SCOTUS,0.89
01-682_REHN_vs_GINS,0.8479005730455094,SCOTUS,0.91
01-682_REHN_vs_GARR,0.7584830141337303,SCOTUS,0.74
01-682_REHN_vs_NELS,0.775688137757364,SCOTUS,0.78
01-682_KENN_vs_SCAL,0.784233292084706,SCOTUS,0.82
01-682_KENN_vs_BREY,0.7755596216761149,SCOTUS,0.82
01-682_KENN_vs_GINS,0.8193443758132992,SCOTUS,0.83
01-682_KENN_vs_GARR,0.7260332290253597,SCOTUS,0.79
01-682_KENN_vs_NELS,0.727446909822935,SCOTUS,0.83
01-682_SCAL_vs_BREY,0.8073155978073447,SCOTUS,0.88
01-682_SCAL_vs_GINS,0.8198013890997689,SCOTUS,0.85
01-682_SCAL_vs_GARR,0.7194425729750165,SCOTUS,0.75
01-682_SCAL_vs_NELS,0.7357127219249215,SCOTUS,0.77
01-682_BREY_vs_GINS,0.9023182447855449,SCOTUS,0.89
01-682_BREY_vs_GARR,0.770140622726893,SCOTUS,0.75
01-682_BREY_vs_NELS,0.8296737626890143,SCOTUS,0.78
01-682_GINS_vs_GARR,0.7629983349924596,SCOTUS,0.75
01-682_GINS_vs_NELS,0.7791698247564257,SCOTUS,0.79
01-682_GARR_vs_NELS,0.925205559089195,SCOTUS,0.94
